metric_val,query_id,model
0.35827352472089313,query-0,marqo+t5
0.49192168280835574,query-1,marqo+t5
0.3574210646232807,query-2,marqo+t5
0.5830586046220722,query-3,marqo+t5
0.22007026789635484,query-4,marqo+t5
0.5571586309181097,query-5,marqo+t5
0.4138651471984805,query-6,marqo+t5
0.5158730158730158,query-7,marqo+t5
0.5784188034188034,query-8,marqo+t5
0.05952380952380952,query-9,marqo+t5
0.38482340773765145,query-10,marqo+t5
0.375,query-11,marqo+t5
0.2727272727272727,query-12,marqo+t5
0.7052631578947369,query-13,marqo+t5
0.8073015873015874,query-14,marqo+t5
0.7305555555555555,query-15,marqo+t5
0.8976190476190476,query-16,marqo+t5
0.6507936507936507,query-17,marqo+t5
0.4085876461347339,query-18,marqo+t5
0.5318692816587555,query-19,marqo+t5
0.5783475783475783,query-20,marqo+t5
0.7928892095558762,query-21,marqo+t5
0.7704344052060771,query-22,marqo+t5
0.9627535925612849,query-23,marqo+t5
0.9472222222222222,query-24,marqo+t5
0.7616402116402116,query-25,marqo+t5
0.8209415584415585,query-26,marqo+t5
0.32634646029145015,query-27,marqo+t5
0.9909090909090909,query-28,marqo+t5
0.5349780938016232,query-29,marqo+t5
0.35931006057817655,query-30,marqo+t5
0.48060833738583103,query-31,marqo+t5
0.55248947811283,query-32,marqo+t5
0.6639262354651163,query-33,marqo+t5
0.716517347960472,query-34,marqo+t5
0.6173558897243107,query-35,marqo+t5
0.5500710548148878,query-36,marqo+t5
0.46418359010270777,query-37,marqo+t5
0.005263157894736842,query-38,marqo+t5
0.5714285714285714,query-39,marqo+t5
0.8628282828282827,query-40,marqo+t5
0.9885883347421809,query-41,marqo+t5
0.8467090601705987,query-42,marqo+t5
0.5530303030303031,query-43,marqo+t5
0.2578463203463203,query-44,marqo+t5
0.19061942959001782,query-45,marqo+t5
0.788083213083213,query-46,marqo+t5
0.6179209679209678,query-47,marqo+t5
0.6207093530451944,query-48,marqo+t5
0.5003241453463977,query-49,marqo+t5
0.7698846556302696,query-50,marqo+t5
0.778505661005661,query-51,marqo+t5
0.48387723387723386,query-52,marqo+t5
0.20866225277989983,query-53,marqo+t5
