,P@3,nDCG@5,R@10,AP,Judged@10,nDCG@10,R@50,R@5,P@5,P@10
steps-title,0.8633333333333333,0.7217875492769333,0.44392931275581404,0.5588466308521659,0.9230000000000004,0.6829178208477927,0.7837529253268639,0.27871021960179404,0.7759999999999997,0.6350000000000001
steps,0.5200000000000002,0.400102746610645,0.28312382740959363,0.27940111477831897,0.787,0.39376749822878054,0.5508518050447914,0.17609116385668325,0.4819999999999998,0.39399999999999996
tags-steps-title,0.8633333333333333,0.7224383570326011,0.44520039461513117,0.5609614621084144,0.9220000000000003,0.6841807041780639,0.7859265968244484,0.2781219843076763,0.7739999999999995,0.6360000000000001
tags-steps,0.5166666666666668,0.4063677025203853,0.2924236590428651,0.29224419181737443,0.7919999999999999,0.4036362561472631,0.5771130132927184,0.17925718338702498,0.48999999999999977,0.408
title-tags,0.8733333333333334,0.7417102191607623,0.4542824359410181,0.570556544912438,0.8900000000000001,0.7027552511291881,0.7898645410176637,0.28577205927924504,0.7979999999999994,0.6509999999999998
title,0.8733333333333334,0.7412732729793154,0.45359958937581857,0.5706921820759946,0.8920000000000001,0.7034114032649367,0.7894510128791355,0.2865001547132228,0.7999999999999994,0.6509999999999999
