,Judged@10,R@20,R@10,nDCG@5,R@50,nDCG@3,AP,P@10,Judged@20,P@3,P@5,nDCG@10
ance+t5,1.0,0.5832919977201273,0.4578182932672837,0.7252129707986252,0.6454984316654762,0.7423058131498628,0.5098763913391923,0.6460000000000001,0.733,0.8300000000000003,0.7959999999999997,0.6859644381006541
ance,1.0,0.5061847661630035,0.3930094870793046,0.6582909293723279,0.6454984316654762,0.7112426250659444,0.4387283886830732,0.5579999999999998,0.6965000000000002,0.7833333333333333,0.6999999999999997,0.6173872053203194
