,nDCG@5,Judged@50,R@20,R@50,Judged@10,P@5,AP,P@3,P@10,nDCG@10,R@10,Judged@20,nDCG@3
tct-colbertv2+t5,0.7340907386744762,0.4256000000000003,0.6395369137137853,0.7255483469492114,1.0,0.8059999999999996,0.5605751075174409,0.84,0.6759999999999999,0.7102323591384858,0.46980046252004515,0.7929999999999999,0.7439158054933569
tct-colbertv2,0.7066676699577612,0.4256000000000003,0.5818081216533036,0.7255483469492114,1.0,0.7759999999999997,0.5220055000344557,0.8366666666666667,0.6330000000000003,0.6687086520168538,0.4443519848724425,0.7415,0.7472498196807978
hybrid-tct-bm25+rm3+t5,0.7196521762995848,0.5237999999999999,0.6930562504854234,0.8570948592404986,0.9850000000000003,0.7899999999999996,0.6293955880247724,0.83,0.6830000000000003,0.7109531265254667,0.47266435535859586,0.8474999999999998,0.741010640527731
hybrid-tct-bm25+rm3,0.7343098603309997,0.5237999999999999,0.6808647018613578,0.8570948592404986,0.9460000000000004,0.8159999999999996,0.6297708945752971,0.8699999999999999,0.675,0.7056639112860236,0.47092616439123397,0.813,0.7703441883070716
