,nDCG@10,R@10,Judged@50,P@3,P@5,AP,nDCG@5,Judged@20,nDCG@3,R@20,Judged@10,P@10,R@50
tct-colbertv2+t5,0.7100873041227522,0.4809943907336289,0.4196000000000003,0.8366666666666667,0.8039999999999998,0.5682354622823105,0.7308892855070347,0.7855,0.740441701068807,0.6492723968098276,1.0,0.675,0.7355271987704044
ance+t5,0.6859644381006541,0.4578182932672837,0.3886000000000001,0.8300000000000003,0.7959999999999997,0.5098763913391923,0.7252129707986252,0.733,0.7423058131498628,0.5832919977201273,1.0,0.6460000000000001,0.6454984316654762
bm25+rm3+t5,0.7069597093069404,0.49897114684645316,0.43520000000000003,0.806666666666667,0.7799999999999996,0.587039740190396,0.7092447765124232,0.7904999999999999,0.7296609870349,0.666615640421408,1.0,0.6990000000000001,0.7670794111524792
bm25+t5,0.6957945128195867,0.48702999353176685,0.4388,0.7866666666666666,0.7659999999999997,0.5714497783151999,0.6977160161327899,0.7994999999999999,0.7178278787196776,0.6621343108653209,1.0,0.6820000000000002,0.7530014972184008
hybrid-tct-bm25+rm3+t5,0.7117549372002979,0.48510885462819436,0.43420000000000025,0.8299999999999998,0.8079999999999997,0.5875638898156037,0.7291685099109213,0.7989999999999998,0.7330953074386932,0.6732879631948043,0.995,0.68,0.7654388602756186
marqo+t5,0.6994387981801696,0.48102368932835027,0.4276000000000002,0.8266666666666669,0.7879999999999996,0.5668511748071985,0.7127140819949627,0.775,0.7315615645779202,0.6578758011749397,1.0,0.6689999999999999,0.7357114316674485
