,nDCG@5,R@50,Judged@50,P@5,P@10,Judged@10,P@3,R@20,AP,nDCG@3,nDCG@10,R@10,Judged@20
bm25+rm3+t5,0.6519440740411678,0.3591240111857222,0.3930000000000001,0.7759999999999998,0.7169999999999999,1.0,0.8,0.2895151877504526,0.2767633324873937,0.6715234858500359,0.609309503347358,0.21572694117252125,0.7029999999999998
bm25+rm3,0.4747011193585295,0.3591240111857222,0.3930000000000001,0.5739999999999997,0.5779999999999998,1.0,0.5766666666666664,0.237237653477496,0.21919717467806488,0.4844081465863188,0.4743888621397987,0.17073473425728147,0.6774999999999995
bm25+t5,0.6545999757350834,0.3690845829160034,0.4058,0.7719999999999998,0.733,1.0,0.81,0.30133870197696183,0.28511239658003296,0.6752149898842168,0.6257027908271506,0.22211945883987705,0.7135000000000001
bm25,0.4703720229195042,0.3690845829160034,0.4058,0.582,0.5699999999999998,1.0,0.6066666666666669,0.24871277736135522,0.2191191114653027,0.48016890055063416,0.4642966602050138,0.17063404322347694,0.6880000000000002
