,R@20,Judged@10,nDCG@5,P@10,P@3,R@50,Judged@50,AP,P@5,Judged@20,nDCG@10,R@10,nDCG@3
tct-colbertv2,0.25422050592931944,0.9710000000000001,0.6915253795557466,0.7469999999999999,0.7900000000000001,0.3859124033640596,0.40900000000000014,0.2781169298921712,0.7879999999999998,0.6764999999999997,0.6571261147822615,0.18105484787028392,0.7075979522258536
ance,0.24146822010375388,0.9719999999999999,0.6575879968363649,0.7149999999999997,0.7833333333333334,0.3331789730705579,0.36800000000000005,0.24385213656059054,0.7499999999999997,0.6625,0.6225966510940435,0.17158510728095525,0.6848886917119343
bm25+best_k1=0.6+best_b=0.4,0.1958457297399415,0.9070000000000006,0.44946074746707054,0.5130000000000001,0.5900000000000002,0.29519590867189555,0.3868000000000002,0.1708863067725045,0.5560000000000002,0.6484999999999999,0.42524993796436816,0.1281096136289001,0.46913401592471565
bm25+rm3+best_k1=0.6+best_b=0.4+best_fb_terms=79.0+best_fb_docs=16.0+best_original_query_weight=0.68,0.19500263675776938,0.8700000000000001,0.4708456824409399,0.5040000000000001,0.5866666666666667,0.29865674055446106,0.3888000000000001,0.17821704614505687,0.5699999999999998,0.6554999999999996,0.4297702235606395,0.12546607328780554,0.48148040955482957
bm25+rm3,0.18846703085702757,0.9110000000000004,0.4522535273444274,0.531,0.5266666666666665,0.2854694574890506,0.37660000000000005,0.1695257237329981,0.5519999999999998,0.6465,0.4401673469273505,0.12851418445750182,0.44921861208835673
bm25,0.19553769019565195,0.9450000000000002,0.4433120479452921,0.5349999999999999,0.5700000000000003,0.2959462504947416,0.3936,0.16893161038014248,0.5479999999999999,0.6535,0.4347847879150646,0.13260766111724975,0.45388245732897614
hybrid-tct-bm25+rm3,0.2667377017645173,0.831,0.6066608647701441,0.6310000000000002,0.733333333333333,0.43566382972862244,0.5315999999999999,0.2964349077939683,0.6799999999999998,0.7689999999999997,0.5678458717898611,0.15844060201965973,0.6522350853420482
marqo,0.20698465334444158,0.998,0.5552995701836028,0.6429999999999998,0.6699999999999998,0.32435577616080624,0.40900000000000036,0.2042543070260574,0.6619999999999997,0.6700000000000002,0.5512646685056191,0.1523610156194171,0.5616763140065362
