,P@3,nDCG@3,R@50,Judged@10,P@10,AP,nDCG@10
requirements,0.35666666666666663,0.30636910126676364,0.05566108910961573,0.509,0.18600000000000005,0.03248480451651733,0.20548313027231177
steps-requirements,0.4533333333333334,0.3766206598625032,0.09945693872552173,0.6120000000000002,0.2790000000000001,0.05083492012249731,0.27571384819788497
steps,0.4700000000000001,0.3905031171914791,0.08317973423481956,0.5580000000000004,0.267,0.04708208536785217,0.2727604036187458
title-requirements,0.8033333333333331,0.7199443458559672,0.3266989133549032,0.7249999999999999,0.6189999999999999,0.22613757551033747,0.5907814217617414
title-steps-requirements,0.7599999999999997,0.682235085342048,0.3216502525681008,0.7739999999999999,0.6190000000000001,0.22494883468191873,0.5807523340954408
title-steps,0.7633333333333332,0.6869278726022756,0.3202664639429329,0.7719999999999999,0.6200000000000001,0.22466822926229862,0.5823283760648187
title,0.8066666666666664,0.7246371331161948,0.32184070044531615,0.714,0.616,0.2250618576463966,0.5901001186532907
marqo,0.6699999999999998,0.5616763140065362,0.32435577616080624,0.998,0.6429999999999998,0.2042543070260574,0.5512646685056191
