,R@10,AP,nDCG@3,P@3,P@5,nDCG@5,Judged@20,R@50,Judged@10,P@10,R@20,Judged@50,nDCG@10
tct-colbertv2+t5,0.1979227241265803,0.3016997783007602,0.7870391808903412,0.8733333333333334,0.8559999999999997,0.7650279910148402,0.7100000000000002,0.37377521272513176,0.998,0.8169999999999998,0.28209828682590715,0.39920000000000017,0.7365494759927409
ance+t5,0.19869074450107171,0.27334780588738267,0.7999443458559667,0.8799999999999999,0.8539999999999998,0.7741906755114478,0.6845,0.3342009453837662,0.9990000000000001,0.8160000000000001,0.26685309767279536,0.3628,0.7347273976174784
bm25+rm3+t5,0.17913155611692752,0.23943985546420612,0.673463936301138,0.8,0.7759999999999998,0.6512906014856716,0.7109999999999999,0.3106904915479395,1.0,0.7169999999999999,0.24502838492290088,0.40500000000000014,0.6053035463723297
bm25+t5,0.18456597302767488,0.24516068719160486,0.6773463936301138,0.81,0.7719999999999998,0.6539652173865026,0.7205000000000003,0.3176977192787599,1.0,0.733,0.2559722118832596,0.41639999999999994,0.6212656854418868
marqo+t5,0.18436656503645868,0.24935300888184575,0.7067319681505688,0.8066666666666668,0.8099999999999998,0.6945860094992455,0.6835,0.32435577616080624,1.0,0.7770000000000001,0.24982056558533042,0.40900000000000036,0.6721334638769224
